a,b,minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum
0.75000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.80000,0.00000,0.80000,0.80000,0.80000,0.80000,0.80000,0.90300

0.80000,0.05000,0.80000,0.81000,0.85000,0.80000,0.80208,0.90760

0.80000,0.10000,0.80000,0.82000,0.90000,0.80000,0.80435,0.90750

0.80000,0.15000,0.80000,0.83000,0.95000,0.80000,0.80682,0.90810

0.80000,0.20000,0.80000,0.84000,1.00000,1.00000,0.80952,0.91970

0.80000,0.25000,0.80000,0.85000,1.00000,1.00000,0.81250,0.91920

