a,b,minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum
0.15000,0.70000,0.70000,0.74500,0.85000,0.70000,0.71508,0.80890

0.15000,0.75000,0.75000,0.78750,0.90000,0.75000,0.76056,0.86260

0.15000,0.80000,0.80000,0.83000,0.95000,0.80000,0.80682,0.91120

0.15000,0.85000,0.85000,0.87250,1.00000,1.00000,0.85387,0.94570

0.15000,0.90000,0.90000,0.91500,1.00000,1.00000,0.90173,0.97470

0.15000,0.95000,0.95000,0.95750,1.00000,1.00000,0.95044,0.99440

0.15000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.20000,0.00000,0.20000,0.20000,0.20000,0.20000,0.20000,0.09800

0.20000,0.05000,0.20000,0.24000,0.25000,0.20000,0.23232,0.09940

0.20000,0.10000,0.20000,0.28000,0.30000,0.20000,0.26531,0.11950

0.20000,0.15000,0.20000,0.32000,0.35000,0.20000,0.29897,0.14840

0.20000,0.20000,0.20000,0.36000,0.40000,0.20000,0.33333,0.17350

0.20000,0.25000,0.25000,0.40000,0.45000,0.25000,0.36842,0.22200

0.20000,0.30000,0.30000,0.44000,0.50000,0.30000,0.40426,0.28210

0.20000,0.35000,0.35000,0.48000,0.55000,0.35000,0.44086,0.34110

0.20000,0.40000,0.40000,0.52000,0.60000,0.40000,0.47826,0.41110

0.20000,0.45000,0.45000,0.56000,0.65000,0.45000,0.51648,0.48220

0.20000,0.50000,0.50000,0.60000,0.70000,0.50000,0.55556,0.55020

0.20000,0.55000,0.55000,0.64000,0.75000,0.55000,0.59551,0.62120

0.20000,0.60000,0.60000,0.68000,0.80000,0.60000,0.63636,0.69090

0.20000,0.65000,0.65000,0.72000,0.85000,0.65000,0.67816,0.74610

0.20000,0.70000,0.70000,0.76000,0.90000,0.70000,0.72093,0.81350

0.20000,0.75000,0.75000,0.80000,0.95000,0.75000,0.76471,0.86520

0.20000,0.80000,0.80000,0.84000,1.00000,1.00000,0.80952,0.91170

0.20000,0.85000,0.85000,0.88000,1.00000,1.00000,0.85542,0.95290

0.20000,0.90000,0.90000,0.92000,1.00000,1.00000,0.90244,0.97710

0.20000,0.95000,0.95000,0.96000,1.00000,1.00000,0.95062,0.99370

0.20000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000

0.25000,0.00000,0.25000,0.25000,0.25000,0.25000,0.25000,0.13720

