a,standard,knee-threshold_0.1,knee-threshold_0.3,knee-threshold_0.5,knee-threshold_0.7,knee-threshold_0.9,sugeno_10,sugeno_2,sugeno_0,sugeno_0.5,sugeno_0.9,yager_0.2,yager_0.5,yager_1,yager_2,yager_5,cosine,quantum
0.32000,0.68000,0.07556,0.29143,0.68000,0.86286,0.96444,0.16190,0.41463,0.68000,0.80952,0.95506,0.00035,0.18863,0.68000,0.94742,0.99933,0.76791,0.76660
0.33000,0.67000,0.07444,0.28714,0.67000,0.85857,0.96333,0.15581,0.40361,0.67000,0.80240,0.95306,0.00031,0.18109,0.67000,0.94398,0.99922,0.75452,0.74790
0.34000,0.66000,0.07333,0.28286,0.66000,0.85429,0.96222,0.15000,0.39286,0.66000,0.79518,0.95101,0.00028,0.17381,0.66000,0.94043,0.99909,0.74088,0.73670
0.35000,0.65000,0.07222,0.27857,0.65000,0.85000,0.96111,0.14444,0.38235,0.65000,0.78788,0.94891,0.00024,0.16678,0.65000,0.93675,0.99895,0.72700,0.72630
0.36000,0.64000,0.07111,0.27429,0.64000,0.84571,0.96000,0.13913,0.37209,0.64000,0.78049,0.94675,0.00022,0.16000,0.64000,0.93295,0.99879,0.71289,0.72480
0.37000,0.63000,0.07000,0.27000,0.63000,0.84143,0.95889,0.13404,0.36207,0.63000,0.77301,0.94453,0.00019,0.15345,0.63000,0.92903,0.99861,0.69857,0.69910
0.38000,0.62000,0.06889,0.26571,0.62000,0.83714,0.95778,0.12917,0.35227,0.62000,0.76543,0.94225,0.00017,0.14712,0.62000,0.92499,0.99841,0.68406,0.69720
0.39000,0.61000,0.06778,0.26143,0.61000,0.83286,0.95667,0.12449,0.34270,0.61000,0.75776,0.93991,0.00015,0.14100,0.61000,0.92081,0.99819,0.66937,0.66370
0.40000,0.60000,0.06667,0.25714,0.60000,0.82857,0.95556,0.12000,0.33333,0.60000,0.75000,0.93750,0.00013,0.13509,0.60000,0.91652,0.99794,0.65451,0.65670
0.41000,0.59000,0.06556,0.25286,0.59000,0.82429,0.95444,0.11569,0.32418,0.59000,0.74214,0.93502,0.00012,0.12938,0.59000,0.91209,0.99767,0.63950,0.63940
0.42000,0.58000,0.06444,0.24857,0.58000,0.82000,0.95333,0.11154,0.31522,0.58000,0.73418,0.93248,0.00010,0.12385,0.58000,0.90752,0.99737,0.62434,0.62470
0.43000,0.57000,0.06333,0.24429,0.57000,0.81571,0.95222,0.10755,0.30645,0.57000,0.72611,0.92985,0.00009,0.11851,0.57000,0.90283,0.99704,0.60907,0.60330
0.44000,0.56000,0.06222,0.24000,0.56000,0.81143,0.95111,0.10370,0.29787,0.56000,0.71795,0.92715,0.00008,0.11335,0.56000,0.89800,0.99668,0.59369,0.59370
0.45000,0.55000,0.06111,0.23571,0.55000,0.80714,0.95000,0.10000,0.28947,0.55000,0.70968,0.92437,0.00007,0.10836,0.55000,0.89303,0.99628,0.57822,0.57860
0.46000,0.54000,0.06000,0.23143,0.54000,0.80286,0.94889,0.09643,0.28125,0.54000,0.70130,0.92150,0.00006,0.10353,0.54000,0.88792,0.99585,0.56267,0.56450
0.47000,0.53000,0.05889,0.22714,0.53000,0.79857,0.94778,0.09298,0.27320,0.53000,0.69281,0.91854,0.00005,0.09887,0.53000,0.88267,0.99537,0.54705,0.53340
0.48000,0.52000,0.05778,0.22286,0.52000,0.79429,0.94667,0.08966,0.26531,0.52000,0.68421,0.91549,0.00005,0.09436,0.52000,0.87727,0.99485,0.53140,0.52610
0.49000,0.51000,0.05667,0.21857,0.51000,0.79000,0.94556,0.08644,0.25758,0.51000,0.67550,0.91234,0.00004,0.09000,0.51000,0.87172,0.99429,0.51571,0.50610
0.50000,0.50000,0.05556,0.21429,0.50000,0.78571,0.94444,0.08333,0.25000,0.50000,0.66667,0.90909,0.00004,0.08579,0.50000,0.86603,0.99367,0.50000,0.50190
0.51000,0.49000,0.05444,0.21000,0.49000,0.78143,0.94333,0.08033,0.24257,0.49000,0.65772,0.90573,0.00003,0.08171,0.49000,0.86017,0.99300,0.48429,0.48290
0.52000,0.48000,0.05333,0.20571,0.48000,0.77714,0.94222,0.07742,0.23529,0.48000,0.64865,0.90226,0.00003,0.07778,0.48000,0.85417,0.99228,0.46860,0.46740
0.53000,0.47000,0.05222,0.20143,0.47000,0.77286,0.94111,0.07460,0.22816,0.47000,0.63946,0.89866,0.00002,0.07398,0.47000,0.84800,0.99149,0.45295,0.44540
0.54000,0.46000,0.05111,0.19714,0.46000,0.76857,0.94000,0.07187,0.22115,0.46000,0.63014,0.89494,0.00002,0.07031,0.46000,0.84167,0.99064,0.43733,0.43880
0.55000,0.45000,0.05000,0.19286,0.45000,0.76429,0.93889,0.06923,0.21429,0.45000,0.62069,0.89109,0.00002,0.06676,0.45000,0.83516,0.98973,0.42178,0.42050
0.56000,0.44000,0.04889,0.18857,0.44000,0.76000,0.93778,0.06667,0.20755,0.44000,0.61111,0.88710,0.00002,0.06334,0.44000,0.82849,0.98873,0.40631,0.40380
0.57000,0.43000,0.04778,0.18429,0.43000,0.75571,0.93667,0.06418,0.20093,0.43000,0.60140,0.88296,0.00001,0.06003,0.43000,0.82164,0.98767,0.39093,0.38420
0.58000,0.42000,0.04667,0.18000,0.42000,0.75143,0.93556,0.06176,0.19444,0.42000,0.59155,0.87866,0.00001,0.05685,0.42000,0.81462,0.98651,0.37566,0.37150
0.59000,0.41000,0.04556,0.17571,0.41000,0.74714,0.93444,0.05942,0.18807,0.41000,0.58156,0.87420,0.00001,0.05377,0.41000,0.80740,0.98527,0.36050,0.36310
0.60000,0.40000,0.04444,0.17143,0.40000,0.74286,0.93333,0.05714,0.18182,0.40000,0.57143,0.86957,0.00001,0.05081,0.40000,0.80000,0.98394,0.34549,0.34960
0.61000,0.39000,0.04333,0.16714,0.39000,0.73857,0.93222,0.05493,0.17568,0.39000,0.56115,0.86475,0.00001,0.04795,0.39000,0.79240,0.98251,0.33063,0.33530
0.62000,0.38000,0.04222,0.16286,0.38000,0.73429,0.93111,0.05278,0.16964,0.38000,0.55072,0.85973,0.00001,0.04520,0.38000,0.78460,0.98097,0.31594,0.31280
0.63000,0.37000,0.04111,0.15857,0.37000,0.73000,0.93000,0.05068,0.16372,0.37000,0.54015,0.85450,0.00001,0.04255,0.37000,0.77660,0.97931,0.30143,0.30240
0.64000,0.36000,0.04000,0.15429,0.36000,0.72571,0.92889,0.04865,0.15789,0.36000,0.52941,0.84906,0.00000,0.04000,0.36000,0.76837,0.97754,0.28711,0.28760
0.65000,0.35000,0.03889,0.15000,0.35000,0.72143,0.92778,0.04667,0.15217,0.35000,0.51852,0.84337,0.00000,0.03755,0.35000,0.75993,0.97564,0.27300,0.27480
0.66000,0.34000,0.03778,0.14571,0.34000,0.71714,0.92667,0.04474,0.14655,0.34000,0.50746,0.83744,0.00000,0.03519,0.34000,0.75127,0.97360,0.25912,0.26110
0.67000,0.33000,0.03667,0.14143,0.33000,0.71286,0.92556,0.04286,0.14103,0.33000,0.49624,0.83123,0.00000,0.03293,0.33000,0.74236,0.97141,0.24548,0.24870
0.68000,0.32000,0.03556,0.13714,0.32000,0.70857,0.92444,0.04103,0.13559,0.32000,0.48485,0.82474,0.00000,0.03076,0.32000,0.73321,0.96907,0.23209,0.23750
0.69000,0.31000,0.03444,0.13286,0.31000,0.70429,0.92333,0.03924,0.13025,0.31000,0.47328,0.81794,0.00000,0.02868,0.31000,0.72381,0.96656,0.21896,0.21380
0.70000,0.30000,0.03333,0.12857,0.30000,0.70000,0.92222,0.03750,0.12500,0.30000,0.46154,0.81081,0.00000,0.02668,0.30000,0.71414,0.96387,0.20611,0.20220
0.71000,0.29000,0.03222,0.12429,0.29000,0.67667,0.92111,0.03580,0.11983,0.29000,0.44961,0.80332,0.00000,0.02477,0.29000,0.70420,0.96099,0.19355,0.19340
0.72000,0.28000,0.03111,0.12000,0.28000,0.65333,0.92000,0.03415,0.11475,0.28000,0.43750,0.79545,0.00000,0.02294,0.28000,0.69397,0.95790,0.18129,0.18080
0.73000,0.27000,0.03000,0.11571,0.27000,0.63000,0.91889,0.03253,0.10976,0.27000,0.42520,0.78717,0.00000,0.02120,0.27000,0.68345,0.95460,0.16934,0.17070
0.74000,0.26000,0.02889,0.11143,0.26000,0.60667,0.91778,0.03095,0.10484,0.26000,0.41270,0.77844,0.00000,0.01953,0.26000,0.67261,0.95106,0.15773,0.15270
0.75000,0.25000,0.02778,0.10714,0.25000,0.58333,0.91667,0.02941,0.10000,0.25000,0.40000,0.76923,0.00000,0.01795,0.25000,0.66144,0.94726,0.14645,0.14700
0.76000,0.24000,0.02667,0.10286,0.24000,0.56000,0.91556,0.02791,0.09524,0.24000,0.38710,0.75949,0.00000,0.01644,0.24000,0.64992,0.94319,0.13552,0.13930
0.77000,0.23000,0.02556,0.09857,0.23000,0.53667,0.91444,0.02644,0.09055,0.23000,0.37398,0.74919,0.00000,0.01501,0.23000,0.63804,0.93882,0.12494,0.12880
0.78000,0.22000,0.02444,0.09429,0.22000,0.51333,0.91333,0.02500,0.08594,0.22000,0.36066,0.73826,0.00000,0.01365,0.22000,0.62578,0.93413,0.11474,0.12200
0.79000,0.21000,0.02333,0.09000,0.21000,0.49000,0.91222,0.02360,0.08140,0.21000,0.34711,0.72664,0.00000,0.01236,0.21000,0.61311,0.92909,0.10492,0.10130
0.80000,0.20000,0.02222,0.08571,0.20000,0.46667,0.91111,0.02222,0.07692,0.20000,0.33333,0.71429,0.00000,0.01115,0.20000,0.60000,0.92367,0.09549,0.08930
0.81000,0.19000,0.02111,0.08143,0.19000,0.44333,0.91000,0.02088,0.07252,0.19000,0.31933,0.70111,0.00000,0.01000,0.19000,0.58643,0.91782,0.08646,0.08850
0.82000,0.18000,0.02000,0.07714,0.18000,0.42000,0.90889,0.01957,0.06818,0.18000,0.30508,0.68702,0.00000,0.00892,0.18000,0.57236,0.91152,0.07784,0.07780
0.83000,0.17000,0.01889,0.07286,0.17000,0.39667,0.90778,0.01828,0.06391,0.17000,0.29060,0.67194,0.00000,0.00791,0.17000,0.55776,0.90471,0.06963,0.07090
0.84000,0.16000,0.01778,0.06857,0.16000,0.37333,0.90667,0.01702,0.05970,0.16000,0.27586,0.65574,0.00000,0.00697,0.16000,0.54259,0.89733,0.06185,0.06100
0.85000,0.15000,0.01667,0.06429,0.15000,0.35000,0.90556,0.01579,0.05556,0.15000,0.26087,0.63830,0.00000,0.00609,0.15000,0.52678,0.88933,0.05450,0.05630
0.86000,0.14000,0.01556,0.06000,0.14000,0.32667,0.90444,0.01458,0.05147,0.14000,0.24561,0.61947,0.00000,0.00528,0.14000,0.51029,0.88061,0.04759,0.04760
0.87000,0.13000,0.01444,0.05571,0.13000,0.30333,0.90333,0.01340,0.04745,0.13000,0.23009,0.59908,0.00000,0.00452,0.13000,0.49305,0.87110,0.04112,0.04040
0.88000,0.12000,0.01333,0.05143,0.12000,0.28000,0.90222,0.01224,0.04348,0.12000,0.21429,0.57692,0.00000,0.00383,0.12000,0.47497,0.86067,0.03511,0.03830
0.89000,0.11000,0.01222,0.04714,0.11000,0.25667,0.90111,0.01111,0.03957,0.11000,0.19820,0.55276,0.00000,0.00320,0.11000,0.45596,0.84919,0.02956,0.02650
0.90000,0.10000,0.01111,0.04286,0.10000,0.23333,0.90000,0.01000,0.03571,0.10000,0.18182,0.52632,0.00000,0.00263,0.10000,0.43589,0.83647,0.02447,0.02360
0.91000,0.09000,0.01000,0.03857,0.09000,0.21000,0.81000,0.00891,0.03191,0.09000,0.16514,0.49724,0.00000,0.00212,0.09000,0.41461,0.82230,0.01985,0.02140
0.92000,0.08000,0.00889,0.03429,0.08000,0.18667,0.72000,0.00784,0.02817,0.08000,0.14815,0.46512,0.00000,0.00167,0.08000,0.39192,0.80636,0.01571,0.01250
0.93000,0.07000,0.00778,0.03000,0.07000,0.16333,0.63000,0.00680,0.02448,0.07000,0.13084,0.42945,0.00000,0.00127,0.07000,0.36756,0.78825,0.01204,0.01320
0.94000,0.06000,0.00667,0.02571,0.06000,0.14000,0.54000,0.00577,0.02083,0.06000,0.11321,0.38961,0.00000,0.00093,0.06000,0.34117,0.76738,0.00886,0.00870
0.95000,0.05000,0.00556,0.02143,0.05000,0.11667,0.45000,0.00476,0.01724,0.05000,0.09524,0.34483,0.00000,0.00064,0.05000,0.31225,0.74286,0.00616,0.00580
0.96000,0.04000,0.00444,0.01714,0.04000,0.09333,0.36000,0.00377,0.01370,0.04000,0.07692,0.29412,0.00000,0.00041,0.04000,0.28000,0.71328,0.00394,0.00360
0.97000,0.03000,0.00333,0.01286,0.03000,0.07000,0.27000,0.00280,0.01020,0.03000,0.05825,0.23622,0.00000,0.00023,0.03000,0.24310,0.67609,0.00222,0.00250
0.98000,0.02000,0.00222,0.00857,0.02000,0.04667,0.18000,0.00185,0.00676,0.02000,0.03922,0.16949,0.00000,0.00010,0.02000,0.19900,0.62593,0.00099,0.00100
0.99000,0.01000,0.00111,0.00429,0.01000,0.02333,0.09000,0.00092,0.00336,0.01000,0.01980,0.09174,0.00000,0.00003,0.01000,0.14107,0.54709,0.00025,0.00060
1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
