minimum,product,lukasiewicz,nilpotent_minimum,hamacher_product,quantum
0.00000,0.01014,0.03798,0.02089,0.00346,0.01299
0.01014,0.00000,0.01014,0.01061,0.00208,0.00471
0.03798,0.01014,0.00000,0.01709,0.02056,0.01301
0.02089,0.01061,0.01709,0.00000,0.01448,0.00690
0.00346,0.00208,0.02056,0.01448,0.00000,0.00738
0.01299,0.00471,0.01301,0.00690,0.00738,0.00000
